Date,Matchup,Away,Home,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-01,STL at SD,STL,SD,4.5,+100,+112,-115,-115,,-120,-118,,+112,+104,-120,,+100,,,,,-124,-105,-110,-105,,-110,-110,,-137,-134,-110,,-130,,,,
2024-04-01,BOS at ATH,BOS,ATH,4.5,+100,-105,-110,-110,,-110,-114,,-112,-112,-110,,-105,,,,,-124,-110,-114,-110,,-120,-114,,-112,-112,-120,,-125,,,,
2024-04-01,NYY at ARI,NYY,ARI,5.5,-110,-130,-105,+110,,-105,-110,,+104,+104,-105,,-130,,,,,-113,-125,-118,-130,,-125,-118,,-129,-129,-125,,+100,,,,
2024-04-01,SF at LAD,SF,LAD,4.5,-112,-110,-121,-115,,-110,-122,,-121,-121,-110,,-125,,,,,-112,-103,-106,-105,,-115,-106,,-103,-103,-115,,-105,,,,
2024-04-02,MIN at MIL,MIN,MIL,4.5,-110,-110,-114,-115,,-110,-114,,-110,-110,-110,,-115,,,,,-115,-105,-113,-105,,-115,-114,,-113,-113,-115,,-115,,,,
2024-04-02,KC at BAL,KC,BAL,4.5,-140,-114,-118,-115,,-115,-118,,-114,-114,-115,,-130,,,,,+105,+100,-109,-105,,-115,-110,,-109,-109,-115,,+100,,,,
2024-04-02,LAA at MIA,LAA,MIA,5,+115,-121,-121,+100,,-105,-146,,-121,-121,-105,,-130,,,,,-150,-120,-103,-120,,-125,+112,,-103,-103,-125,,+100,,,,
2024-04-02,CIN at PHI,CIN,PHI,4.5,-140,+105,+100,+105,,+100,-104,,+102,+102,+100,,+100,,,,,+105,-125,-127,-125,,-130,-125,,-127,-127,-130,,-130,,,,
2024-04-02,TEX at TB,TEX,TB,4.5,-115,-118,-122,-120,,-130,-122,,-118,-118,-130,,-130,,,,,-105,+100,+100,+100,,+100,-106,,-108,-108,+100,,+100,,,,
2024-04-02,COL at CHC,COL,CHC,4.5,+115,-120,-124,-120,,-120,-128,,-124,-124,-120,,-130,,,,,-143,+100,-103,+100,,-110,-102,,-103,-103,-110,,+100,,,,
2024-04-02,ATL at CWS,ATL,CWS,4.5,-115,-117,-117,+110,,-120,-122,,-117,-117,-120,,-130,,,,,-105,-130,-110,-130,,-110,-106,,-107,-107,-110,,+100,,,,
2024-04-02,TOR at HOU,TOR,HOU,4.5,+105,+102,-115,-115,,-115,-118,,+102,+102,-115,,-125,,,,,-125,-105,-110,-105,,-115,-110,,-127,-127,-115,,-105,,,,
2024-04-02,CLE at SEA,CLE,SEA,4,-110,-127,-105,+105,,+100,-144,,-127,-127,+100,,-105,,,,,-110,-125,-125,-125,,-130,+110,,+102,+102,-130,,-125,,,,
2024-04-02,BOS at ATH,BOS,ATH,4.5,-105,+100,-105,+100,,-110,-114,,-105,-105,-110,,+100,,,,,-115,-120,-120,-120,,-120,-114,,-120,-120,-120,,-130,,,,
2024-04-02,STL at SD,STL,SD,4.5,+100,+112,+100,+100,,-110,-108,,+112,+112,-110,,+100,,,,,-120,-120,-130,-120,,-120,-120,,-148,-148,-120,,-130,,,,
2024-04-02,NYY at ARI,NYY,ARI,4.5,-120,-124,-130,-130,,-125,-130,,-124,-124,-125,,-135,,,,,+100,+110,+100,+110,,-105,+100,,-103,-103,-105,,+105,,,,
2024-04-02,SF at LAD,SF,LAD,4.5,-106,+105,-108,+105,,-110,-108,,-108,-108,-110,,,,,,,-118,-115,-120,-125,,-115,-120,,-115,-115,-115,,,,,,
2024-04-03,KC at BAL,KC,BAL,3.5,-120,-117,-130,-120,,-130,-132,,-117,-117,-130,,-130,,,,,-108,+100,+100,+100,,+100,+102,,-106,-106,+100,,+100,,,,
2024-04-03,MIN at MIL,MIN,MIL,4.5,-120,-120,-125,-120,,-125,-125,,-127,-127,-125,,-130,,,,,-108,+102,+100,+100,,-105,-104,,+102,+102,-105,,+100,,,,
2024-04-03,LAA at MIA,LAA,MIA,4.5,-114,-107,-120,-120,,-130,-118,,-107,-107,-130,,-130,,,,,-114,+100,-110,+100,,+100,-110,,-117,-117,+100,,+100,,,,
2024-04-03,TEX at TB,TEX,TB,4,-118,-110,-110,-110,,-120,+104,,+116,+116,-120,,-110,,,,,-110,-143,-120,-110,,-110,-135,,-143,-143,-110,,-120,,,,
2024-04-03,BOS at ATH,BOS,ATH,4,-128,-110,-110,-110,,-120,+114,,+116,+116,-120,,-115,,,,,-102,-143,-115,-110,,-110,-148,,-143,-143,-110,,-115,,,,
2024-04-03,NYY at ARI,NYY,ARI,4.5,-104,-105,-120,-125,,-120,-125,,-105,-105,-120,,-130,,,,,-125,+105,-104,+105,,-110,-104,,-122,-122,-110,,+100,,,,
2024-04-03,CIN at PHI,CIN,PHI,4,-105,-130,-130,-130,,-105,-130,,-130,-130,-105,,-105,,,,,-115,-125,+100,+110,,-125,+100,,+105,+105,-125,,-125,,,,
2024-04-03,CLE at SEA,CLE,SEA,4,-152,-141,-115,+100,,-115,-154,,-141,-141,-115,,+105,,,,,+116,-115,-115,-120,,-115,+118,,+114,+114,-115,,-135,,,,
2024-04-03,STL at SD,STL,SD,5,-125,-113,-120,-120,,-105,-122,,-113,-113,-105,,-130,,,,,+105,-125,-106,+100,,-125,-106,,-113,-113,-125,,+100,,,,
2024-04-03,PIT at WSH,PIT,WSH,4.5,+100,-105,-115,-115,,-115,-110,,-105,-105,-115,,-130,,,,,-120,+100,-110,-105,,-110,-118,,-118,-118,-110,,+100,,,,
2024-04-03,COL at CHC,COL,CHC,4,+100,-136,-115,+100,,-105,-135,,-136,-136,-105,,-115,,,,,-125,-115,-115,-120,,-125,+104,,+108,+108,-125,,-115,,,,
2024-04-03,TOR at HOU,TOR,HOU,4.5,-105,-115,-125,-115,,-120,-130,,-130,-130,-120,,-125,,,,,-115,+105,-105,-105,,-110,+100,,+105,+105,-110,,-105,,,,
2024-04-03,SF at LAD,SF,LAD,4.5,-105,-105,-106,-105,,-110,-106,,-114,-114,-110,,-105,,,,,-115,-109,-120,-115,,-120,-122,,-109,-109,-120,,-125,,,,
2024-04-04,DET at NYM,DET,NYM,4,-105,-110,-110,-110,,-120,+106,,+118,+118,-120,,-130,,,,,-115,-148,-110,-110,,-110,-138,,-148,-148,-110,,+100,,,,
2024-04-04,PIT at WSH,PIT,WSH,4.5,-120,-109,-115,-110,,-120,-120,,-109,-109,-120,,-115,,,,,+100,-110,-110,-110,,-110,-110,,-114,-114,-110,,-115,,,,
2024-04-04,CLE at MIN,CLE,MIN,3.5,-110,-115,-115,+105,,-130,-140,,-115,-115,-130,,-130,,,,,-110,-125,-108,-125,,+100,+108,,-108,-108,+100,,+100,,,,
2024-04-04,MIA at STL,MIA,STL,4.5,-105,-113,-115,-115,,-120,-120,,-113,-113,-120,,-115,,,,,-115,-105,-110,-105,,-110,-106,,-110,-110,-110,,-115,,,,
2024-04-04,DET at NYM,DET,NYM,4,+100,-162,-125,-105,,-125,-118,,-162,+117,-125,,-135,,,,,-120,-148,+105,-115,,-105,-110,,+125,-148,-105,,+105,,,,
2024-04-04,CWS at KC,CWS,KC,4.5,-110,+106,+100,+100,,-105,-102,,+106,+106,-105,,+100,,,,,-110,-120,-128,-120,,-125,-128,,-132,-132,-125,,-130,,,,
2024-04-05,TOR at NYY,TOR,NYY,4.5,-130,-115,-125,-115,,-125,-135,,-121,-121,-125,,-125,,,,,+100,-103,-103,-105,,-105,+104,,-103,-103,-105,,-105,,,,
2024-04-05,ATH at DET,ATH,DET,4,-136,-120,-120,-120,,-105,-130,,-132,-132,-105,,-130,,,,,+110,-125,+100,+100,,-125,+100,,+107,+107,-125,,+100,,,,
2024-04-05,LAD at CHC,LAD,CHC,4,-124,-136,+100,+100,,+100,+114,,-143,-136,+100,,+100,,,,,+100,-120,-120,-120,,-130,-148,,+115,+108,-130,,-130,,,,
2024-04-05,TB at COL,TB,COL,6.5,-120,-118,-120,-120,,-125,-114,,-118,-118,-125,,-125,,,,,-104,+100,-105,+100,,-105,-114,,-105,-105,-105,,-105,,,,
2024-04-05,BAL at PIT,BAL,PIT,4,+112,-105,-105,-105,,-120,+110,,+118,+118,-120,,-120,,,,,-139,-148,-115,-115,,-110,-144,,-148,-148,-110,,-110,,,,
2024-04-05,SD at SF,SD,SF,4,-139,-134,-110,-110,,-130,+106,,-134,-134,-130,,-105,,,,,+112,+100,-110,-110,,+100,-138,,+108,+108,+100,,-125,,,,
2024-04-05,NYM at CIN,NYM,CIN,4.5,-112,-113,-115,-115,,-125,-114,,-113,-113,-125,,-125,,,,,-112,-105,-110,-105,,-105,-115,,-110,-110,-105,,-105,,,,
2024-04-05,PHI at WSH,PHI,WSH,4.5,+100,-105,-105,-105,,-110,-102,,-105,-105,-110,,-105,,,,,-124,-115,-122,-115,,-120,-128,,-122,-122,-120,,-125,,,,
2024-04-05,ARI at ATL,ARI,ATL,5,-110,-143,-105,-105,,-115,+112,,-143,-143,-115,,+100,,,,,-112,-110,-115,-115,,-110,-146,,+108,+108,-110,,-130,,,,
2024-04-05,CWS at KC,CWS,KC,4.5,-106,+100,-105,+100,,-105,-110,,-105,-105,-105,,+100,,,,,-118,-120,-120,-120,,-125,-118,,-120,-120,-125,,-130,,,,
2024-04-05,HOU at TEX,HOU,TEX,5.5,+115,-105,-106,-105,,-105,-106,,-106,-106,-105,,-110,,,,,-143,-115,-120,-115,,-125,-122,,-117,-117,-125,,-120,,,,
2024-04-05,SEA at MIL,SEA,MIL,4,-124,-139,+100,+105,,+100,-152,,-139,-139,+100,,+100,,,,,+100,-125,-125,-125,,-130,+116,,+112,+112,-130,,-130,,,,
2024-04-05,BOS at LAA,BOS,LAA,4.5,-118,-110,-114,-110,,-115,-114,,-115,-115,-115,,-115,,,,,-105,-108,-110,-110,,-110,-114,,-108,-108,-110,,-115,,,,
2024-04-06,ATH at DET,ATH,DET,4.5,+115,-106,-110,-110,,-120,-102,,-106,-106,-120,,-115,,,,,-143,-110,-115,-110,,-110,-128,,-118,-118,-110,,-115,,,,
2024-04-06,CLE at MIN,CLE,MIN,4.5,-106,-115,-115,-115,,-105,-104,,-103,-103,-105,,-125,,,,,-118,-122,-122,-105,,-125,-125,,-122,-122,-125,,-105,,,,
2024-04-06,MIA at STL,MIA,STL,4.5,+102,-120,-105,-120,,-105,+108,,+112,+112,-105,,-120,,,,,-127,-125,-125,+100,,-125,-140,,-139,-139,-125,,-110,,,,
2024-04-06,LAD at CHC,LAD,CHC,4,+108,-125,+105,+105,,-125,+106,,+108,+108,-125,,-130,,,,,-136,-125,-125,-125,,-105,-138,,-136,-136,-105,,+100,,,,
2024-04-06,PHI at WSH,PHI,WSH,4.5,-103,+110,+100,+110,,-105,-110,,+102,+102,-105,,+100,,,,,-122,-125,-125,-130,,-125,-118,,-127,-127,-125,,-130,,,,
2024-04-06,BAL at PIT,BAL,PIT,4.5,-108,-114,-122,-125,,-125,-122,,-114,-114,-125,,-130,,,,,-115,+105,-105,+105,,-105,-106,,-109,-109,-105,,+100,,,,
