Date,Matchup,Away,Home,Away_Line,Home_Line,Open_Away,Best Odds_Away,Consensus_Away,bet365_Away,DraftKings_Away,BetMGM_Away,FanDuel_Away,theScore Bet_Away,BetRivers_Away,SugarHouse_Away,PartyCasino_Away,Fliff_Away,Caesars_Away,PointsBet_Away,Hard Rock Bet_Away,ESPNBet_Away,Fanatics_Away,Open_Home,Best Odds_Home,Consensus_Home,bet365_Home,DraftKings_Home,BetMGM_Home,FanDuel_Home,theScore Bet_Home,BetRivers_Home,SugarHouse_Home,PartyCasino_Home,Fliff_Home,Caesars_Home,PointsBet_Home,Hard Rock Bet_Home,ESPNBet_Home,Fanatics_Home
2024-04-02,TOR at HOU,TOR,HOU,1.5,-1.5,-156,-162,-165,-165,-170,-165,-162,-165,-165,-165,-165,,-180,,,,,+130,+152,+140,+140,+142,+140,+134,+140,+133,+133,+140,,+152,,,,
2024-04-02,CLE at SEA,CLE,SEA,-1.5,1.5,-200,-220,-220,-225,+170,+165,-225,+170,-225,-225,+165,,-220,,,,,+162,-200,+170,+185,-205,-200,+184,-215,+170,+170,-200,,+180,,,,
2024-04-02,BOS at ATH,BOS,ATH,-1.5,1.5,+115,+115,+108,+105,+102,+110,+108,+105,+110,+110,+110,,+115,,,,,-138,-122,-130,-125,-122,-135,-130,-125,-134,-134,-135,,-135,,,,
2024-04-02,STL at SD,STL,SD,1.5,-1.5,-192,-155,-170,-170,-162,-155,-170,-165,-200,-200,-155,,-165,,,,,+158,+160,+140,+145,+136,+125,+140,+140,+160,+160,+125,,+140,,,,
2024-04-02,NYY at ARI,NYY,ARI,-1.5,1.5,+160,-220,+148,-220,+150,+150,+152,+150,+148,+148,+150,,-235,,,,,-194,-180,-180,+180,-180,-185,-184,-185,-182,-182,-185,,+192,,,,
2024-04-02,SF at LAD,SF,LAD,1.5,-1.5,-134,-165,-166,-165,-166,-165,-166,-165,-175,-175,-165,,-175,,,,,+112,+148,+140,+140,+140,+140,+138,+135,+143,+143,+140,,+148,,,,
2024-04-03,KC at BAL,KC,BAL,1.5,-1.5,-160,-148,-155,-155,-148,-150,-156,-155,-167,-167,-150,,-150,,,,,+132,+138,+130,+130,+124,+125,+130,+130,+138,+138,+125,,+126,,,,
2024-04-03,MIN at MIL,MIN,MIL,-1.5,1.5,+152,+160,+150,+150,+150,+145,+146,+160,+150,+150,+145,,+150,,,,,-184,-175,-180,-180,-180,-175,-178,-190,-186,-186,-175,,-178,,,,
2024-04-03,LAA at MIA,LAA,MIA,-1.5,1.5,+150,-210,+150,-210,+154,+155,+152,+160,+150,+150,+155,,-210,,,,,-182,-184,-184,+175,-185,-190,-184,-190,-186,-186,-190,,+175,,,,
2024-04-03,TEX at TB,TEX,TB,1.5,-1.5,-205,-200,-205,-200,-205,-200,-200,-215,-235,-235,-200,,-205,,,,,+168,+175,+170,+165,+170,+165,+164,+170,+175,+175,+165,,+170,,,,
2024-04-03,BOS at ATH,BOS,ATH,-1.5,1.5,+120,+106,-102,-110,-102,+100,+100,+100,+106,+106,+100,,-105,,,,,-144,-110,-118,-110,-118,-120,-120,-120,-129,-129,-120,,-115,,,,
2024-04-03,NYY at ARI,NYY,ARI,-1.5,1.5,+138,+140,+134,+135,+130,+135,+134,+135,+140,+140,+135,,+122,,,,,-166,-145,-160,-160,-155,-160,-162,-160,-175,-175,-160,,-145,,,,
2024-04-03,CIN at PHI,CIN,PHI,1.5,-1.5,-144,-140,-145,-150,-142,-140,-140,-145,-155,-155,-140,,-140,,,,,+118,+128,+120,+125,+120,+115,+116,+125,+128,+128,+115,,+118,,,,
2024-04-03,CLE at SEA,CLE,SEA,1.5,-1.5,-160,-155,-165,-155,-166,-165,-170,-165,-162,-165,-165,,-170,,,,,+132,+143,+140,+130,+140,+140,+140,+140,+133,+132,+140,,+143,,,,
