Date,Matchup,Away,Home,Team,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-06,HOU at TEX,HOU,TEX,TEX,4.5,-120,-124,-136,,-125,,-136,-125,-124,-124,,,-400,,,,,-110,+106,-105,,-105,,+106,-105,+100,+100,,,-175,,,,
2024-04-06,TOR at NYY,TOR,NYY,NYY,3.5,-140,-112,-115,,-115,,-118,-115,-112,-112,,,,,,,,+110,-108,-112,,-115,,-108,-115,-112,-112,,,,,,,
2024-04-06,TOR at NYY,TOR,NYY,TOR,3.5,-135,-107,-110,,-110,,-111,-110,-107,-107,,,,,,,,+105,-115,-117,,-120,,-115,-120,-117,-117,,,,,,,
2024-04-06,SEA at MIL,SEA,MIL,SEA,4.5,+125,+112,+107,,+110,,+112,+110,+107,+107,,,+100,,,,,-160,-132,-132,,-140,,-142,-140,-132,-132,,,+210,,,,
2024-04-06,SEA at MIL,SEA,MIL,MIL,4.5,+125,+112,+105,,+105,,+110,+110,+112,+112,,,-133,,,,,-160,-135,-140,,-135,,-140,-140,-139,-139,,,-1000,,,,
2024-04-06,CWS at KC,CWS,KC,CWS,3.5,-110,-105,-115,,-115,,-113,-105,-115,-115,,,-350,,,,,-120,-108,-125,,-115,,-113,-125,-108,-108,,,-150,,,,
2024-04-06,CWS at KC,CWS,KC,KC,5.5,+130,+104,-105,,-105,,+104,+100,+102,+102,,,-500,,,,,-165,-125,-132,,-125,,-132,-130,-127,-127,,,-200,,,,
2024-04-06,ARI at ATL,ARI,ATL,ARI,3.5,-120,-113,-120,,-120,,-113,-120,-117,-117,,,-225,,,,,-110,-107,-113,,-110,,-113,-110,-107,-107,,,-500,,,,
2024-04-06,ARI at ATL,ARI,ATL,ATL,5.5,-160,-140,-140,,-145,,-148,-140,+115,+115,,,,,,,,+125,-143,+110,,+114,,+116,+110,-143,-143,,,,,,,
2024-04-06,TB at COL,TB,COL,TB,6.5,-135,-135,-135,,-140,,-136,-135,+110,+107,,,,,,,,+105,-132,+105,,+110,,+106,+105,-136,-132,,,,,,,
2024-04-06,TB at COL,TB,COL,COL,5.5,-135,-135,-135,,-140,,-150,-135,+114,+114,,,,,,,,+105,-141,+105,,+110,,+118,+105,-141,-141,,,,,,,
2024-04-06,SD at SF,SD,SF,SD,3.5,-130,-125,-132,,-130,,-138,-125,-132,-132,,,,,,,,+100,+108,+100,,+100,,+108,-105,+106,+106,,,,,,,
2024-04-06,SD at SF,SD,SF,SF,3.5,-125,-125,-125,,-130,,-132,-125,-129,-129,,,+188,,,,,-105,+104,-105,,+100,,+104,-105,+104,+104,,,-800,,,,
2024-04-06,BOS at LAA,BOS,LAA,LAA,3.5,-145,-134,-135,,-140,,-140,-135,-143,-134,,,+290,,,,,+115,+110,+102,,+110,,+110,+105,+102,+108,,,-500,,,,
2024-04-06,BOS at LAA,BOS,LAA,BOS,3.5,-135,-129,-135,,-135,,-140,-130,-137,-129,,,,,,,,+105,+110,+105,,+105,,+110,+100,-104,+104,,,,,,,
2024-04-07,TOR at NYY,TOR,NYY,NYY,4.5,+100,+107,+100,,+100,,-104,-105,+107,+107,,,,,,,,-130,-122,-130,,-130,,-122,-125,-136,-136,,,,,,,
2024-04-07,TOR at NYY,TOR,NYY,TOR,3.5,-125,-105,-108,,-105,,-111,-105,-108,-108,,,,,,,,-105,-115,-118,,-125,,-115,-125,-118,-118,,,,,,,
2024-04-07,BAL at PIT,BAL,PIT,PIT,3.5,-125,-135,-143,,-135,,-150,-135,-143,-143,,,,,,,,-105,+118,+116,,+105,,+118,+105,+116,+116,,,,,,,
2024-04-07,BAL at PIT,BAL,PIT,BAL,4.5,+105,+100,-103,,+100,,+100,-120,-103,-103,,,,,,,,-135,-110,-121,,-130,,-128,-110,-121,-121,,,,,,,
2024-04-07,ARI at ATL,ARI,ATL,ATL,5.5,+105,-103,-105,,-105,,-104,-120,-103,-103,,,,,,,,-135,-110,-122,,-125,,-122,-110,-125,-125,,,,,,,
2024-04-07,ARI at ATL,ARI,ATL,ARI,3.5,-115,-104,-110,,-110,,-104,-105,-117,-117,,,-118,,,,,-115,-109,-125,,-120,,-122,-125,-109,-109,,,-600,,,,
2024-04-07,PHI at WSH,PHI,WSH,PHI,4.5,-120,+110,+104,,+100,,+106,+110,+104,+104,,,,,,,,-110,-129,-136,,-130,,-136,-140,-129,-129,,,,,,,
2024-04-07,PHI at WSH,PHI,WSH,WSH,3.5,-110,+115,+112,,+114,,+100,+115,+112,+112,,,,,,,,-120,-128,-137,,-145,,-128,-145,-137,-137,,,,,,,
2024-04-07,NYM at CIN,NYM,CIN,CIN,3.5,-150,-130,-130,,-130,,-140,-130,-139,-139,,,+800,,,,,+120,+112,+100,,+100,,+110,+100,+112,+112,,,-1000,,,,
2024-04-07,NYM at CIN,NYM,CIN,NYM,4.5,+100,+105,+104,,+105,,+104,+105,+102,+102,,,,,,,,-130,-127,-132,,-135,,-132,-135,-127,-127,,,,,,,
2024-04-07,ATH at DET,ATH,DET,OAK,3.5,-180,-140,-120,,-150,,-156,-140,+116,+116,,,-120,,,,,+140,-143,-143,,+120,,+122,+110,-143,-143,,,-5000,,,,
2024-04-07,ATH at DET,ATH,DET,DET,4.5,-105,-105,-106,,-105,,-106,-105,-108,-108,,,,,,,,-125,-115,-120,,-125,,-120,-125,-115,-115,,,,,,,
2024-04-07,SEA at MIL,SEA,MIL,SEA,4.5,-145,-140,+118,,+114,,+114,-140,+118,+118,,,+350,,,,,+115,-145,+110,,-145,,-146,+110,-148,-148,,,+333,,,,
2024-04-07,SEA at MIL,SEA,MIL,MIL,4.5,+115,+100,+100,,-110,,-104,-105,+100,+100,,,+333,,,,,-145,-120,-122,,-120,,-122,-125,-122,-122,,,-125,,,,
2024-04-07,CWS at KC,CWS,KC,KC,4.5,+105,-105,-110,,-110,,-108,-105,-105,-105,,,-700,,,,,-135,-118,-125,,-120,,-118,-125,-120,-120,,,-1200,,,,
2024-04-07,CWS at KC,CWS,KC,CWS,4.5,+115,+110,+110,,+100,,+102,+110,+106,+106,,,+170,,,,,-145,-130,-140,,-130,,-130,-140,-132,-132,,,-1000,,,,
2024-04-07,MIA at STL,MIA,STL,MIA,4.5,-135,-145,+112,,+105,,+110,-145,+112,+112,,,+160,,,,,+105,-135,-140,,-135,,-140,+115,-139,-139,,,-400,,,,
2024-04-07,MIA at STL,MIA,STL,STL,4.5,+100,-112,-120,,-120,,-125,-120,-112,-112,,,,,,,,-130,-102,-110,,-110,,-102,-110,-110,-110,,,,,,,
2024-04-07,LAD at CHC,LAD,CHC,CHC,3.5,-130,-140,-143,,-140,,-146,-140,-143,-143,,,,,,,,+100,+116,+114,,+110,,+114,+110,+116,+116,,,,,,,
2024-04-07,LAD at CHC,LAD,CHC,LAD,4.5,+105,+114,+100,,+114,,+100,+105,-115,-115,,,,,,,,-135,-112,-128,,-145,,-128,-135,-112,-112,,,,,,,
2024-04-07,TB at COL,TB,COL,COL,5.5,-140,-130,-130,,-130,,-142,-135,+107,+108,,,,,,,,+110,-132,+100,,+100,,+112,+105,-132,-134,,,,,,,
2024-04-07,TB at COL,TB,COL,TB,5.5,-105,-134,-134,,-135,,-138,+110,-134,-134,,,,,,,,-125,-140,+105,,+105,,+108,-140,+108,+108,,,,,,,
2024-04-07,SD at SF,SD,SF,SD,3.5,+115,+108,+105,,+100,,+100,+105,+108,+108,,,,,,,,-145,-128,-130,,-130,,-128,-135,-134,-134,,,,,,,
2024-04-07,SD at SF,SD,SF,SF,4.5,+110,+112,+100,,+110,,+108,+100,+112,+112,,,-275,,,,,-140,-130,-130,,-140,,-138,-130,-139,-139,,,+130,,,,
2024-04-07,BOS at LAA,BOS,LAA,LAA,3.5,-145,-134,-134,,-135,,-154,-140,-134,-134,,,+550,,,,,+115,+120,+105,,+105,,+120,+110,+108,+108,,,-286,,,,
2024-04-07,BOS at LAA,BOS,LAA,BOS,4.5,+110,+102,+100,,+100,,+100,+100,+102,+102,,,,,,,,-140,-125,-128,,-130,,-128,-130,-125,-125,,,,,,,
2024-04-07,HOU at TEX,HOU,TEX,TEX,4.5,-115,-130,-139,,-130,,-136,-135,-139,-139,,,-400,,,,,-115,+112,+100,,+100,,+106,+105,+112,+112,,,-225,,,,
2024-04-07,HOU at TEX,HOU,TEX,HOU,4.5,-135,-136,-136,,+110,,-140,-140,-136,-139,,,,,,,,+105,-140,+110,,-140,,+110,+110,+110,+112,,,,,,,
2024-04-08,CWS at CLE,CWS,CLE,CWS,2.5,-130,-135,+122,,+114,,+122,-135,-139,-139,,,+450,,,,,+100,-145,-145,,-145,,-156,+105,+112,+112,,,-450,,,,
2024-04-08,CWS at CLE,CWS,CLE,CLE,4.5,+100,-125,-125,,-125,,-130,-135,-125,-125,,,+138,,,,,-130,+105,-105,,-105,,+102,+105,+102,+102,,,-800,,,,
2024-04-08,MIA at NYY,MIA,NYY,NYY,4.5,+105,+110,+107,,+110,,+102,+100,+107,+107,,,,,,,,-135,-130,-132,,-140,,-130,-130,-132,-132,,,,,,,
2024-04-08,MIA at NYY,MIA,NYY,MIA,3.5,-110,-110,-110,,-110,,-120,-110,-121,-121,,,+480,,,,,-120,-104,-120,,-120,,-106,-120,-104,-104,,,-150,,,,
2024-04-08,DET at PIT,DET,PIT,PIT,3.5,-150,-135,-140,,-140,,-142,-135,-136,-136,,,,,,,,+120,+112,+108,,+110,,+112,+105,+108,+108,,,,,,,
2024-04-08,DET at PIT,DET,PIT,DET,3.5,-135,-115,-120,,-120,,-115,-120,-125,-125,,,,,,,,+105,+102,-110,,-110,,-111,-110,+102,+102,,,,,,,
2024-04-08,MIL at CIN,MIL,CIN,MIL,4.5,-105,-115,-115,,-120,,-115,-130,-120,-120,,,+175,,,,,-125,+100,-111,,-110,,-111,+100,-105,-105,,,-450,,,,
2024-04-08,MIL at CIN,MIL,CIN,CIN,4.5,+100,-107,-110,,-110,,-108,-110,-107,-107,,,-400,,,,,-130,-115,-120,,-120,,-118,-120,-115,-115,,,-154,,,,
2024-04-08,SEA at TOR,SEA,TOR,TOR,3.5,-135,-135,-140,,-140,,-148,-135,-136,-136,,,,,,,,+105,+116,+110,,+110,,+116,+105,+110,+110,,,,,,,
2024-04-08,SEA at TOR,SEA,TOR,SEA,3.5,-135,-127,-127,,-140,,-130,-130,-127,-127,,,+120,,,,,+105,+110,+102,,+110,,+102,+100,+102,+102,,,+110,,,,
2024-04-08,NYM at ATL,NYM,ATL,ATL,5.5,-105,-113,-115,,-125,,-113,-125,-115,-115,,,,,,,,-125,-105,-108,,-105,,-113,-105,-108,-108,,,,,,,
2024-04-08,NYM at ATL,NYM,ATL,NYM,3.5,-130,-130,-135,,-135,,-130,-130,-136,-136,,,,,,,,+100,+110,+105,,+105,,+102,+100,+110,+110,,,,,,,
2024-04-08,LAD at MIN,LAD,MIN,LAD,4.5,-105,-109,-110,,-115,,-115,-110,-109,-109,,,,,,,,-125,-111,-115,,-115,,-111,-120,-114,-114,,,,,,,
2024-04-08,LAD at MIN,LAD,MIN,MIN,3.5,-115,-125,-130,,-125,,-146,-125,-130,-130,,,,,,,,-115,+114,+105,,-105,,+114,-105,+105,+105,,,,,,,
2024-04-08,PHI at STL,PHI,STL,PHI,4.5,+110,+110,+108,,+110,,+108,+110,+107,+107,,,,,,,,-140,-132,-138,,-140,,-138,-140,-132,-132,,,,,,,
2024-04-08,PHI at STL,PHI,STL,STL,4.5,+105,+115,+114,,+114,,+114,+115,+106,+106,,,,,,,,-135,-132,-145,,-145,,-146,-145,-132,-132,,,,,,,
2024-04-08,HOU at TEX,HOU,TEX,TEX,4.5,+170,-138,+110,,-140,,-138,+110,-141,-141,,,+450,,,,,-220,-140,+108,,+110,,+108,-140,+114,+114,,,-120,,,,
2024-04-08,HOU at TEX,HOU,TEX,HOU,4.5,-140,-115,-118,,-120,,-115,-115,-118,-118,,,,,,,,+110,-106,-110,,-110,,-111,-115,-106,-106,,,,,,,
2024-04-08,ARI at COL,ARI,COL,COL,4.5,+100,+102,+100,,+100,,+100,-105,+102,+102,,,,,,,,-130,-125,-128,,-130,,-128,-125,-125,-125,,,,,,,
2024-04-08,ARI at COL,ARI,COL,ARI,5.5,-135,-130,-145,,-130,,-146,-145,-134,-134,,,-175,,,,,+105,+114,+100,,+100,,+114,+110,+108,+108,,,-225,,,,
2024-04-08,TB at LAA,TB,LAA,TB,4.5,+100,-114,-120,,-115,,-122,-120,-114,-114,,,,,,,,-130,-104,-110,,-115,,-104,-110,-108,-108,,,,,,,
2024-04-08,TB at LAA,TB,LAA,LAA,3.5,-110,-120,-122,,-120,,-122,-120,-122,-122,,,-450,,,,,-120,-103,-103,,-110,,-104,-110,-103,-103,,,+180,,,,
2024-04-08,CHC at SD,CHC,SD,CHC,3.5,-105,+100,-107,,-105,,-113,+100,-107,-107,,,,,,,,-125,-113,-125,,-125,,-113,-130,-115,-115,,,,,,,
2024-04-08,CHC at SD,CHC,SD,SD,3.5,-135,-130,-135,,-130,,-146,-135,-134,-134,,,,,,,,+105,+114,+108,,+100,,+114,+105,+108,+108,,,,,,,
2024-04-08,WSH at SF,WSH,SF,WSH,2.5,-140,-135,-140,,-140,,-136,-135,-143,-143,,,,,,,,+110,+116,+110,,+110,,+106,+105,+116,+116,,,,,,,
2024-04-08,WSH at SF,WSH,SF,SF,4.5,-110,+105,+105,,+105,,+100,+100,+102,+102,,,+550,,,,,-120,-128,-128,,-135,,-128,-130,-129,-129,,,+250,,,,
