Date,Matchup,Away,Home,Team,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-02,CLE at SEA,CLE,SEA,SEA,3.5,-115,+100,+100,,-105,,-111,+100,-113,-113,,,+900,,,,,-115,-110,-125,,-125,,-115,-130,-110,-110,,,-167,,,,
2024-04-02,CLE at SEA,CLE,SEA,CLE,3.5,+110,+100,+100,,-105,,-104,+100,+100,+100,,,+225,,,,,-140,-122,-130,,-125,,-122,-130,-124,-124,,,-175,,,,
2024-04-02,BOS at ATH,BOS,ATH,BOS,4.5,+100,-102,-109,,-115,,-102,-110,-109,-109,,,,,,,,-130,-114,-120,,-115,,-128,-120,-114,-114,,,,,,,
2024-04-02,BOS at ATH,BOS,ATH,OAK,3.5,+105,-105,-105,,-105,,-111,-105,-112,-112,,,+850,,,,,-135,-112,-125,,-125,,-115,-125,-112,-112,,,-2500,,,,
2024-04-02,STL at SD,STL,SD,SD,3.5,+125,-148,+114,,+114,,+118,+115,-148,-148,,,,,,,,-160,-145,-145,,-145,,-150,-145,+117,+117,,,,,,,
2024-04-02,STL at SD,STL,SD,STL,3.5,-110,+100,-105,,-105,,-118,+100,-117,-117,,,,,,,,-120,-107,-125,,-125,,-108,-130,-107,-107,,,,,,,
2024-04-02,NYY at ARI,NYY,ARI,ARI,4.5,+105,+114,+114,,+114,,+108,+110,+110,+110,,,+600,,,,,-135,-136,-145,,-145,,-138,-140,-136,-136,,,-400,,,,
2024-04-02,NYY at ARI,NYY,ARI,NYY,4.5,+105,+102,+100,,+100,,+102,+100,-105,-105,,,,,,,,-135,-120,-130,,-130,,-130,-130,-120,-120,,,,,,,
2024-04-02,SF at LAD,SF,LAD,LAD,4.5,+100,+105,+104,,+100,,+104,+105,+100,+100,,,,,,,,-130,-127,-130,,-130,,-132,-135,-127,-127,,,,,,,
2024-04-02,SF at LAD,SF,LAD,SF,3.5,-115,-121,-121,,-125,,-125,-125,-121,-121,,,+220,,,,,-115,-102,-105,,-105,,-102,-105,-103,-103,,,-250,,,,
2024-04-03,KC at BAL,KC,BAL,BAL,3.5,-125,-134,-135,,-135,,-142,-135,-134,-134,,,,,,,,-105,+112,+108,,+105,,+112,+105,+108,+108,,,,,,,
2024-04-03,KC at BAL,KC,BAL,KC,3.5,-145,-145,+120,,-145,,-156,-150,+120,+120,,,+1000,,,,,+115,-150,-150,,+114,,+122,+115,-150,-150,,,-1600,,,,
2024-04-03,MIN at MIL,MIN,MIL,MIN,4.5,+105,+105,+102,,-105,,+102,+105,+104,+104,,,,,,,,-135,-125,-130,,-125,,-130,-135,-129,-129,,,,,,,
2024-04-03,MIN at MIL,MIN,MIL,MIL,3.5,+120,-148,+116,,+114,,+116,+115,-148,-148,,,+280,,,,,-150,-145,-118,,-145,,-148,-145,+120,+120,,,-118,,,,
2024-04-03,LAA at MIA,LAA,MIA,LAA,4.5,+110,+106,-105,,-105,,+106,+105,+105,+105,,,-275,,,,,-140,-125,-136,,-125,,-136,-135,-130,-130,,,-450,,,,
2024-04-03,LAA at MIA,LAA,MIA,MIA,3.5,+110,-143,+105,,+105,,+112,+110,-143,-143,,,+110,,,,,-140,-135,+117,,-135,,-142,-140,+117,+117,,,+450,,,,
2024-04-03,TEX at TB,TEX,TB,TEX,3.5,-125,-115,-120,,-120,,-120,-115,-118,-118,,,-400,,,,,-105,-106,-110,,-110,,-106,-115,-106,-106,,,-118,,,,
2024-04-03,TEX at TB,TEX,TB,TB,3.5,-140,-125,-125,,-125,,-140,-125,-125,-125,,,,,,,,+110,+110,+102,,-105,,+110,-105,+102,+102,,,,,,,
2024-04-03,BOS at ATH,BOS,ATH,OAK,3.5,+100,-145,+105,,-145,,+126,+115,+105,+105,,,-175,,,,,-130,-130,-145,,+114,,-162,-145,-130,-130,,,-400,,,,
2024-04-03,BOS at ATH,BOS,ATH,BOS,4.5,+105,+116,+105,,+105,,+116,+100,+100,+100,,,,,,,,-135,-124,-135,,-135,,-148,-130,-124,-124,,,,,,,
2024-04-03,NYY at ARI,NYY,ARI,NYY,4.5,+100,+100,-105,,-110,,-111,-105,+100,+100,,,,,,,,-130,-115,-120,,-120,,-115,-125,-124,-124,,,,,,,
2024-04-03,NYY at ARI,NYY,ARI,ARI,3.5,-140,-135,-142,,-135,,-142,-135,-136,-136,,,-150,,,,,+110,+112,+105,,+105,,+112,+105,+110,+110,,,-154,,,,
2024-04-03,CIN at PHI,CIN,PHI,CIN,3.5,+115,+115,+107,,+114,,+112,+115,+107,+107,,,-125,,,,,-145,-134,-142,,-145,,-142,-145,-134,-134,,,-143,,,,
2024-04-03,CIN at PHI,CIN,PHI,PHI,4.5,+110,+116,+112,,+114,,+116,+110,+112,+112,,,,,,,,-140,-139,-145,,-145,,-148,-140,-139,-139,,,,,,,
2024-04-03,CLE at SEA,CLE,SEA,CLE,3.5,+115,+115,+104,,+105,,+104,+115,+110,+110,,,-286,,,,,-145,-132,-132,,-135,,-132,-145,-137,-139,,,+210,,,,
2024-04-03,CLE at SEA,CLE,SEA,SEA,3.5,-130,-135,-148,,-135,,-142,-135,-148,-148,,,-200,,,,,+100,+118,+118,,+105,,+112,+105,+118,+117,,,+320,,,,
2024-04-03,STL at SD,STL,SD,SD,4.5,+100,+102,-102,,-105,,-102,-105,+102,+102,,,,,,,,-130,-125,-125,,-125,,-125,-125,-129,-129,,,,,,,
2024-04-03,STL at SD,STL,SD,STL,3.5,-110,-117,-120,,-125,,-120,-120,-117,-117,,,,,,,,-120,-105,-106,,-105,,-106,-110,-106,-106,,,,,,,
2024-04-03,PIT at WSH,PIT,WSH,PIT,4.5,-130,-109,-111,,-115,,-111,-110,-109,-109,,,,,,,,+100,-114,-115,,-115,,-115,-120,-114,-114,,,,,,,
2024-04-03,PIT at WSH,PIT,WSH,WSH,3.5,-120,-104,-110,,-110,,-104,-105,-118,-118,,,,,,,,-110,-106,-120,,-120,,-120,-125,-106,-106,,,,,,,
2024-04-03,COL at CHC,COL,CHC,CHC,4.5,+118,-156,+105,,+114,,-156,+105,+108,+108,,,,,,,,-148,-135,-135,,-145,,+122,-135,-136,-136,,,,,,,
2024-04-03,COL at CHC,COL,CHC,COL,2.5,-117,-125,-130,,-130,,-138,-125,-137,-137,,,,,,,,-107,+110,+100,,+100,,+108,-105,+110,+110,,,,,,,
2024-04-03,TOR at HOU,TOR,HOU,TOR,3.5,-140,-130,-132,,-135,,-132,-130,-134,-134,,,,,,,,+110,+108,+104,,+105,,+104,+100,+108,+108,,,,,,,
2024-04-03,TOR at HOU,TOR,HOU,HOU,4.5,-130,-115,-120,,-120,,-115,-125,-121,-121,,,,,,,,+100,-104,-105,,-110,,-111,-105,-104,-104,,,,,,,
2024-04-03,SF at LAD,SF,LAD,LAD,4.5,-120,-129,-135,,-135,,-132,-145,-129,-129,,,,,,,,-110,+115,+105,,+105,,+104,+115,+104,+104,,,,,,,
2024-04-03,SF at LAD,SF,LAD,SF,3.5,+115,-150,+122,,-150,,+122,+115,+118,+118,,,+650,,,,,-145,-145,-145,,+120,,-156,-145,-148,-148,,,-250,,,,
2024-04-04,DET at NYM,DET,NYM,NYM,3.5,-120,-125,-130,,-125,,-138,-125,-130,-130,,,,,,,,-110,+108,+105,,-105,,+108,-105,+105,+105,,,,,,,
2024-04-04,DET at NYM,DET,NYM,DET,3.5,-115,+105,+102,,+105,,+102,-110,-108,-108,,,,,,,,-115,-115,-120,,-135,,-130,-120,-115,-115,,,,,,,
2024-04-04,PIT at WSH,PIT,WSH,WSH,3.5,-135,-130,-134,,-130,,-140,-130,-134,-134,,,,,,,,+105,+110,+108,,+100,,+110,+100,+108,+108,,,,,,,
2024-04-04,PIT at WSH,PIT,WSH,PIT,4.5,-105,+105,+104,,+105,,+102,+105,+104,+104,,,,,,,,-125,-129,-130,,-135,,-130,-135,-129,-129,,,,,,,
2024-04-04,CLE at MIN,CLE,MIN,MIN,3.5,-130,-127,-135,,-130,,-140,-135,-127,-127,,,,,,,,+100,+110,+105,,+100,,+110,+105,+102,+102,,,,,,,
2024-04-04,CLE at MIN,CLE,MIN,CLE,3.5,+105,-150,+115,,-150,,+124,+115,+116,+116,,,-120,,,,,-135,-143,-145,,+120,,-158,-145,-143,-143,,,-500,,,,
2024-04-04,MIA at STL,MIA,STL,MIA,3.5,-135,-120,-125,,-120,,-122,-125,-127,-127,,,-133,,,,,+105,+102,-110,,-110,,-104,-105,+102,+102,,,-1600,,,,
2024-04-04,MIA at STL,MIA,STL,STL,4.5,-105,+110,+108,,+110,,+108,+100,+100,+100,,,,,,,,-125,-125,-130,,-140,,-138,-130,-125,-125,,,,,,,
2024-04-04,DET at NYM,DET,NYM,NYM,3.5,-130,-125,-130,,-125,,-132,-130,-137,-137,,,,,,,,+100,+110,+104,,-105,,+104,+100,+110,+110,,,,,,,
2024-04-04,DET at NYM,DET,NYM,DET,3.5,-110,-105,-115,,-105,,-120,-115,-115,-115,,,,,,,,-120,-106,-115,,-125,,-106,-115,-108,-108,,,,,,,
2024-04-04,CWS at KC,CWS,KC,KC,4.5,+100,-105,-110,,-105,,-106,-110,-107,-107,,,-400,,,,,-130,-117,-125,,-125,,-120,-120,-117,-117,,,-900,,,,
2024-04-04,CWS at KC,CWS,KC,CWS,3.5,-105,+110,+110,,+100,,+100,+110,-104,-104,,,+800,,,,,-125,-121,-121,,-130,,-128,-140,-121,-121,,,+230,,,,
2024-04-05,TOR at NYY,TOR,NYY,TOR,3.5,-110,-124,-130,,-130,,-132,-125,-124,-124,,,,,,,,-120,+104,+100,,+100,,+104,-105,+100,+100,,,,,,,
2024-04-05,TOR at NYY,TOR,NYY,NYY,4.5,-105,-109,-110,,-110,,-113,-110,-109,-109,,,,,,,,-125,-113,-114,,-120,,-113,-120,-114,-114,,,,,,,
2024-04-05,ATH at DET,ATH,DET,OAK,2.5,-120,-114,-114,,-125,,-125,-115,-114,-114,,,+360,,,,,-110,-102,-110,,-105,,-102,-110,-108,-108,,,-150,,,,
2024-04-05,ATH at DET,ATH,DET,DET,4.5,+100,+105,+100,,+100,,+102,-105,+105,+105,,,,,,,,-130,-125,-130,,-130,,-130,-125,-130,-130,,,,,,,
2024-04-05,LAD at CHC,LAD,CHC,CHC,2.5,-125,-130,-143,,-130,,-148,-130,-143,-136,,,,,,,,-105,+117,+116,,+100,,+116,+100,+117,+110,,,,,,,
2024-04-05,LAD at CHC,LAD,CHC,LAD,4.5,+105,+105,+100,,+105,,+104,-110,+100,+104,,,,,,,,-135,-115,-124,,-135,,-132,-115,-124,-129,,,,,,,
2024-04-05,TB at COL,TB,COL,TB,7.5,-130,-128,-128,,-135,,-128,-135,+108,+108,,,,,,,,+100,-136,+100,,+105,,+100,+105,-136,-136,,,,,,,
2024-04-05,TB at COL,TB,COL,COL,5.5,+110,+105,+100,,+100,,+102,+105,-110,-110,,,,,,,,-140,-113,-130,,-130,,-130,-135,-113,-113,,,,,,,
2024-04-05,BAL at PIT,BAL,PIT,PIT,3.5,-105,-105,-110,,-110,,-115,-105,-108,-108,,,,,,,,-125,-111,-120,,-120,,-111,-125,-115,-115,,,,,,,
2024-04-05,BAL at PIT,BAL,PIT,BAL,3.5,-165,-140,-140,,+114,,-150,-140,-143,-143,,,,,,,,+130,-145,+110,,-145,,+118,+110,+116,+116,,,,,,,
2024-04-05,SD at SF,SD,SF,SF,3.5,-110,-113,-113,,-125,,-136,-120,-113,-113,,,+105,,,,,-120,+106,-110,,-105,,+106,-110,-110,-110,,,-450,,,,
2024-04-05,SD at SF,SD,SF,SD,3.5,-110,-114,-115,,-115,,-120,-120,-114,-114,,,,,,,,-120,-106,-110,,-115,,-106,-110,-109,-109,,,,,,,
2024-04-05,NYM at CIN,NYM,CIN,NYM,4.5,+115,+116,+114,,+114,,+116,+115,+110,+110,,,,,,,,-145,-137,-145,,-145,,-148,-145,-137,-137,,,,,,,
2024-04-05,NYM at CIN,NYM,CIN,CIN,4.5,+115,+100,-102,,+100,,-102,+100,+100,+100,,,-175,,,,,-145,-125,-125,,-130,,-125,-130,-125,-125,,,+240,,,,
2024-04-05,PHI at WSH,PHI,WSH,PHI,4.5,-130,-129,-130,,-130,,-130,-135,-129,-129,,,,,,,,+100,+105,+102,,+100,,+102,+105,+104,+104,,,,,,,
2024-04-05,PHI at WSH,PHI,WSH,WSH,3.5,+105,-140,+105,,-140,,+114,+105,+120,+120,,,,,,,,-135,-130,-130,,+110,,-146,-130,-148,-148,,,,,,,
2024-04-05,ARI at ATL,ARI,ATL,ATL,5.5,+115,-110,-113,,-115,,-111,-110,-113,-113,,,,,,,,-145,-110,-115,,-115,,-115,-120,-110,-110,,,,,,,
2024-04-05,ARI at ATL,ARI,ATL,ARI,2.5,-135,-140,+112,,+110,,+112,-140,-150,-150,,,+600,,,,,+105,-140,-140,,-140,,-142,+110,+120,+120,,,-400,,,,
2024-04-05,CWS at KC,CWS,KC,CWS,3.5,+100,+110,+110,,+105,,+108,+110,+105,+105,,,+450,,,,,-130,-130,-140,,-135,,-138,-140,-130,-130,,,-1400,,,,
2024-04-05,CWS at KC,CWS,KC,KC,4.5,-105,-110,-110,,-110,,-113,-110,-117,-117,,,+450,,,,,-125,-107,-107,,-120,,-113,-120,-107,-107,,,+120,,,,
2024-04-05,HOU at TEX,HOU,TEX,HOU,5.5,+110,+110,+104,,+100,,+104,+100,+110,+110,,,,,,,,-140,-130,-132,,-130,,-132,-130,-137,-137,,,,,,,
2024-04-05,HOU at TEX,HOU,TEX,TEX,4.5,+110,+100,+100,,+100,,-102,+100,-112,-112,,,+240,,,,,-140,-112,-112,,-130,,-125,-130,-112,-112,,,+110,,,,
2024-04-05,SEA at MIL,SEA,MIL,SEA,3.5,-120,-110,-120,,-115,,-113,-110,-120,-120,,,-225,,,,,-110,-105,-120,,-115,,-113,-120,-105,-105,,,-350,,,,
2024-04-05,SEA at MIL,SEA,MIL,MIL,3.5,-130,-124,-130,,-130,,-130,-130,-124,-124,,,-200,,,,,+100,+102,+100,,+100,,+102,+100,+100,+100,,,-133,,,,
2024-04-05,BOS at LAA,BOS,LAA,BOS,4.5,+115,+107,+104,,+100,,+104,+100,+107,+107,,,,,,,,-145,-130,-132,,-130,,-132,-130,-134,-134,,,,,,,
2024-04-05,BOS at LAA,BOS,LAA,LAA,4.5,-145,-145,+117,,-145,,+116,-145,+117,+117,,,+300,,,,,+115,-148,-148,,+114,,-148,+115,-148,-148,,,-154,,,,
2024-04-06,ATH at DET,ATH,DET,OAK,3.5,+115,-120,-120,,-120,,-122,-120,-129,-129,,,+210,,,,,-145,+104,-110,,-110,,-104,-110,+104,+104,,,-700,,,,
2024-04-06,ATH at DET,ATH,DET,DET,4.5,+110,+108,+102,,+100,,+108,+100,+102,+102,,,,,,,,-140,-125,-130,,-130,,-138,-130,-125,-125,,,,,,,
