Date,Matchup,Away,Home,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-01,STL at SD,STL,SD,0.5,+230,+102,+102,,+225,-110,-120,,+102,-106,-110,,-105,,,,,-330,-320,-127,,-320,-120,-106,,-127,-118,-120,,-125,,,,
2024-04-01,BOS at ATH,BOS,ATH,0.5,+255,+100,+100,,+225,+100,-111,,-117,-117,+100,,-115,,,,,-370,-320,-125,,-320,-125,-115,,-106,-106,-125,,-115,,,,
2024-04-01,NYY at ARI,NYY,ARI,0.5,+160,-135,-130,,+170,-135,-146,,-137,-137,-135,,-130,,,,,-215,-235,+100,,-235,+105,+114,,+112,+112,+105,,+100,,,,
2024-04-01,SF at LAD,SF,LAD,0.5,-114,-110,-110,,+215,-110,-118,,-122,-122,-110,,,,,,,-109,-300,-115,,-300,-115,-108,,-103,-103,-115,,,,,,
2024-04-02,MIN at MIL,MIN,MIL,0.5,+210,+104,+104,,+215,-120,+100,,+104,+104,-120,,-115,,,,,-295,-300,-129,,-300,-105,-128,,-129,-129,-105,,-115,,,,
2024-04-02,KC at BAL,KC,BAL,0.5,+210,-105,-102,,+215,-110,-102,,-105,-105,-110,,-115,,,,,-290,-300,-125,,-300,-120,-125,,-120,-120,-120,,-115,,,,
2024-04-02,LAA at MIA,LAA,MIA,0.5,+250,-115,-110,,+205,-115,-115,,-115,-115,-115,,-110,,,,,-360,-285,-120,,-285,-110,-111,,-108,-108,-110,,-120,,,,
2024-04-02,CIN at PHI,CIN,PHI,0.5,+195,-105,-105,,+230,-105,-108,,-109,-109,-105,,-125,,,,,-270,-330,-120,,-330,-120,-118,,-114,-114,-120,,-105,,,,
2024-04-02,TEX at TB,TEX,TB,0.5,+225,-120,-110,,+200,-120,-115,,-125,-125,-120,,-110,,,,,-320,-275,-120,,-275,-110,-111,,+100,+100,-110,,-120,,,,
2024-04-02,COL at CHC,COL,CHC,0.5,+112,-110,-108,,+205,-110,-108,,-121,-121,-110,,-115,,,,,-139,-290,-120,,-290,-120,-118,,-103,-103,-120,,-115,,,,
2024-04-02,ATL at CWS,ATL,CWS,0.5,+210,-115,-115,,+210,-115,-115,,-127,-127,-115,,-120,,,,,-295,-295,-111,,-295,-110,-111,,+102,+102,-110,,-110,,,,
2024-04-02,TOR at HOU,TOR,HOU,0.5,+220,-108,-108,,+210,-110,-118,,-108,-108,-110,,-120,,,,,-310,-295,-115,,-295,-115,-108,,-115,-115,-115,,-110,,,,
2024-04-02,CLE at SEA,CLE,SEA,0.5,+280,+120,+130,,+320,+120,+116,,+108,+108,+120,,+130,,,,,-425,-500,-160,,-500,-150,-148,,-134,-134,-150,,-160,,,,
2024-04-02,BOS at ATH,BOS,ATH,0.5,+255,-104,-104,,+280,-110,-111,,-104,-104,-110,,-105,,,,,-370,-425,-127,,-425,-115,-115,,-127,-127,-115,,-125,,,,
2024-04-02,STL at SD,STL,SD,0.5,+240,-106,-106,,+275,-115,-106,,-106,-106,-115,,-110,,,,,-350,-400,-120,,-400,-110,-120,,-117,-117,-110,,-120,,,,
2024-04-02,NYY at ARI,NYY,ARI,0.5,+195,-115,-113,,+195,-115,-113,,-121,-121,-115,,-130,,,,,-275,-270,-113,,-270,-110,-113,,-104,-104,-110,,+100,,,,
2024-04-02,SF at LAD,SF,LAD,0.5,-115,-105,-105,,+235,-105,-108,,-121,-121,-105,,-110,,,,,-108,-340,-120,,-340,-120,-118,,-103,-103,-120,,-120,,,,
2024-04-03,KC at BAL,KC,BAL,0.5,+128,+112,+114,,+285,+110,+114,,+112,+112,+110,,+110,,,,,-164,-425,-146,,-425,-145,-146,,-139,-139,-145,,-140,,,,
2024-04-03,MIN at MIL,MIN,MIL,0.5,-106,-120,-104,,+200,-120,-104,,-121,-121,-120,,-120,,,,,-120,-280,-122,,-280,-110,-122,,-104,-104,-110,,-110,,,,
2024-04-03,LAA at MIA,LAA,MIA,0.5,-104,+100,-104,,,-115,-104,,+100,+100,-115,,-120,,,,,-122,-110,-122,,,-110,-122,,-124,-124,-110,,-110,,,,
2024-04-03,TEX at TB,TEX,TB,0.5,-108,-105,-102,,+250,-105,-102,,-105,-105,-105,,-110,,,,,-118,-360,-125,,-360,-120,-125,,-120,-120,-120,,-120,,,,
2024-04-03,BOS at ATH,BOS,ATH,0.5,-113,+100,+106,,+245,+100,+106,,+100,+100,+100,,-105,,,,,-113,-350,-136,,-350,-130,-136,,-124,-124,-130,,-125,,,,
2024-04-03,NYY at ARI,NYY,ARI,0.5,+100,-108,-115,,,-115,-113,,-108,-108,-115,,-125,,,,,-128,-105,-110,,,-110,-113,,-117,-117,-110,,-105,,,,
2024-04-03,CIN at PHI,CIN,PHI,0.5,+100,+110,+112,,+255,+110,+112,,+100,+100,+110,,-105,,,,,-128,-370,-142,,-370,-140,-142,,-125,-125,-140,,-125,,,,
2024-04-03,CLE at SEA,CLE,SEA,0.5,+116,+107,+120,,+270,+105,+110,,+107,+105,+105,,+120,,,,,-148,-400,-150,,-400,-135,-140,,-132,-134,-135,,-150,,,,
2024-04-03,STL at SD,STL,SD,0.5,+104,-104,-104,,+195,-120,-113,,-104,-104,-120,,-120,,,,,-132,-275,-121,,-275,-105,-113,,-121,-121,-105,,-110,,,,
2024-04-03,PIT at WSH,PIT,WSH,0.5,-113,-109,-109,,,-115,-104,,-109,-109,-115,,-110,,,,,-113,-120,-114,,,-110,-120,,-114,-114,-110,,-120,,,,
2024-04-03,COL at CHC,COL,CHC,0.5,+128,+110,+118,,+255,+110,+118,,+106,+106,+110,,-110,,,,,-159,-370,-150,,-370,-140,-150,,-132,-132,-140,,-120,,,,
2024-04-03,TOR at HOU,TOR,HOU,0.5,+215,-115,-115,,+205,-115,-128,,-129,-129,-115,,-120,,,,,-300,-290,-110,,-290,-110,+100,,+104,+104,-110,,-110,,,,
